No isolation widget
-------------------

DAC ref: 1.024V

18,2.3040,1.0230,2.0460,2.2880,2.3242
19,2.4320,1.0230,2.0460,2.4200,2.4512
20,2.5600,1.0230,2.0460,2.5360,2.5781
21,2.6880,1.0230,2.0460,2.6720,2.6904
22,2.8160,1.0230,2.0460,2.8000,2.7930
23,2.9440,1.0230,2.0460,2.9280,2.9150
24,3.0720,1.0230,2.0460,3.0440,3.0371
25,3.2000,1.0230,2.0460,3.1760,3.1641
26,3.3280,1.0230,2.0460,3.3040,3.2812
27,3.4560,1.0230,2.0460,3.4360,3.4229
28,3.5840,1.0230,2.0460,3.5640,3.5498
29,3.7120,1.0230,2.0460,3.6960,3.6719
30,3.8400,1.0230,2.0460,3.8160,3.8135
31,3.9680,1.0230,2.0460,3.9440,3.9453

DAC ref: VDD

0,0.0000,0.0020,0.0020,0.0040,0.0049
1,0.1562,0.1640,0.1620,0.1600,0.1562
2,0.3125,0.3240,0.3180,0.3160,0.3125
3,0.4688,0.4870,0.4800,0.4680,0.4688
4,0.6250,0.6490,0.6400,0.6240,0.6250
5,0.7812,0.8110,0.7980,0.7840,0.7764
6,0.9375,0.9730,0.9580,0.9400,0.9326
7,1.0938,1.0230,1.1160,1.0920,1.0840
8,1.2500,1.0230,1.2720,1.2480,1.2402
9,1.4062,1.0230,1.4340,1.4040,1.3965
10,1.5625,1.0230,1.5920,1.5640,1.5527
11,1.7188,1.0230,1.7560,1.7200,1.7090
12,1.8750,1.0230,1.9200,1.8800,1.8652
13,2.0312,1.0230,2.0460,2.0320,2.0215
14,2.1875,1.0230,2.0460,2.1960,2.1777
15,2.3438,1.0230,2.0460,2.3560,2.3291
16,2.5000,1.0230,2.0460,2.5080,2.4854
17,2.6562,1.0230,2.0460,2.6680,2.6416
18,2.8125,1.0230,2.0460,2.8240,2.7979
19,2.9688,1.0230,2.0460,2.9840,2.9541
20,3.1250,1.0230,2.0460,3.1440,3.1104
21,3.2812,1.0230,2.0460,3.2960,3.2617
22,3.4375,1.0230,2.0460,3.4560,3.4180
23,3.5938,1.0230,2.0460,3.6080,3.5742
24,3.7500,1.0230,2.0460,3.7760,3.7305
25,3.9062,1.0230,2.0460,3.9360,3.8867
26,4.0625,1.0230,2.0460,4.0880,4.0479
27,4.2188,1.0230,2.0460,4.0920,4.2041
28,4.3750,1.0230,2.0460,4.0920,4.3652
29,4.5312,1.0230,2.0460,4.0920,4.5166
30,4.6875,1.0230,2.0460,4.0920,4.6826
31,4.8438,1.0230,2.0460,4.0920,4.8340

